ID	Lat	Long	Sex	Length_cm	Disk_width_cm	attriPop
A7d-01	49.97833	0.77	F	56	38.5	E_Chan
A7d-02	49.97833	0.77	F	64	43.5	E_Chan
A7d-03	49.97833	0.77	F	55	38	E_Chan
A7d-04	49.97833	0.77	F	54.5	39	E_Chan
A7d-05	49.97833	0.77	F	46.5	33.5	E_Chan
A7d-06	49.97833	0.77	F	56	40	E_Chan
A7d-07	49.97833	0.77	F	51	35	E_Chan
A7d-08	49.97833	0.77	F	58	39	E_Chan
A7d-09	49.97833	0.77	F	55	38	E_Chan
A7d-10	49.97833	0.77	F	73	51.5	E_Chan
A7d-11	49.97833	0.77	F	83.5	56	E_Chan
A7d-12	49.97833	0.77	F	47	30.5	E_Chan
A7d-13	49.97833	0.77	M	77	49	E_Chan
A7d-14	49.97833	0.77	M	64	42.5	E_Chan
A7d-15	49.97833	0.77	M	70	45.5	E_Chan
A7d-16	49.97833	0.77	M	61.5	41.5	E_Chan
A7d-17	49.97833	0.77	M	56	38	E_Chan
A7d-18	49.97833	0.77	M	42	29.5	E_Chan
A7d-19	50.10333	0.39	F	48.5	33.5	E_Chan
A7d-20	50.23	0.3216667	F	84	56	E_Chan
A7d-21	50.23	0.3216667	F	86	59	E_Chan
A7d-22	50.23	0.3216667	F	66	45	E_Chan
A7d-23	50.23	0.3216667	F	92	64	E_Chan
A7d-24	49.69091667	-1.5305	M	59	41	Int
A7d-25	49.69091667	-1.5305	M	55	38	Int
A7d-26	49.69616667	-1.528833333	M	62	35	Int
A7d-27	49.71241667	-1.513333333	M	75	49	Int
A7d-28	49.71241667	-1.513333333	F	65	45	Int
A7d-29	49.71241667	-1.513333333	M	82	52	Int
A7d-30	49.71241667	-1.513333333	M	87	55	Int
A7d-31	49.71041667	-1.558916667	M	68	46	Int
A7d-32	49.71041667	-1.558916667	M	68	44	Int
A7d-33	49.71041667	-1.558916667	M	75	50	Int
A7e-01	48.95716667	-2.435416667	F	58	38	W_Chan
A7e-02	48.95716667	-2.435416667	M	87	55	W_Chan
A7e-03	48.82633333	-2.29225	M	81	52	W_Chan
A7e-04	48.82633333	-2.29225	M	77	50	W_Chan
A7e-05	48.82633333	-2.29225	F	95	64	W_Chan
A7e-06	48.82633333	-2.29225	M	74	47	W_Chan
A7e-07	48.84166667	-1.820333333	M	82	54	W_Chan
A7e-08	48.84166667	-1.820333333	F	85	57	W_Chan
A7e-09	48.84166667	-1.820333333	F	77	52	W_Chan
A7e-10	48.84033333	-1.865916667	M	74	48	W_Chan
A7e-11	48.84033333	-1.865916667	F	70	50	W_Chan
A7e-12	48.76233333	-2.169333333	M	85	53	W_Chan
A7e-13	49.2625	-1.729166667	F	95	64	W_Chan
A7e-14	49.624	-1.893333333	M	87	57	W_Chan
A7e-15	49.57608333	-1.908333333	M	88	57	W_Chan
A7e-16	48.84291667	-1.8555	F	79	58	W_Chan
A7e-17	48.84291667	-1.8555	F	76	52	W_Chan
A7e-18	48.84291667	-1.8555	F	75	50	W_Chan
A7e-19	48.84291667	-1.8555	M	74	49	W_Chan
A7e-20	48.84291667	-1.8555	M	87	55	W_Chan
A7e-21	48.84291667	-1.8555	M	75	51	W_Chan
A7e-22	48.84291667	-1.8555	F	65	47	W_Chan
A7e-23	48.84291667	-1.8555	F	77	55	W_Chan
A7e-24	48.903	-2.045416667	M	86	55	W_Chan
A7e-25	48.89633333	-2.033666667	M	94	59	W_Chan
A7e-26	48.89633333	-2.033666667	M	79	52	W_Chan
A7e-27	49.41825	-2.0475	F	50	34	W_Chan
A7e-28	49.41825	-2.0475	F	48	35	W_Chan
